OTU_id	0	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	46	47	48	49	5	6	7	8	9
0	1.000	0.223	-0.397	-0.339	-0.389	-0.367	-0.318	-0.301	-0.436	-0.462	-0.452	-0.356	-0.389	-0.462	-0.250	-0.357	-0.475	-0.429	-0.308	-0.366	-0.361	-0.417	-0.343	-0.390	-0.430	-0.339	-0.370	-0.332	-0.255	-0.362	-0.372	-0.347	-0.451	-0.362	-0.389	-0.389	-0.259	-0.379	-0.350	-0.363	-0.390	-0.434	-0.340	-0.424	-0.454	-0.427	-0.436	-0.310	-0.262	-0.447
1	0.223	1.000	-0.108	-0.089	-0.088	-0.071	-0.119	-0.123	-0.170	-0.191	-0.143	-0.131	-0.138	-0.099	-0.033	-0.149	-0.032	-0.104	-0.130	-0.006	-0.101	-0.099	-0.064	-0.051	-0.054	-0.125	-0.113	-0.045	-0.103	-0.069	-0.076	-0.145	-0.191	-0.128	-0.044	-0.139	-0.004	-0.148	0.007	-0.081	-0.116	-0.116	-0.048	-0.065	-0.132	-0.086	-0.140	-0.053	-0.006	-0.140
10	-0.397	-0.108	1.000	-0.230	0.328	0.149	0.168	0.110	0.099	0.133	0.130	0.119	0.138	0.217	0.055	0.160	0.242	0.148	0.044	0.265	0.207	0.168	0.173	0.127	0.074	-0.015	0.132	0.254	0.098	0.150	0.014	0.057	0.152	0.253	0.100	0.067	0.180	0.134	0.102	0.154	0.073	0.320	0.136	0.080	0.174	0.193	0.119	0.005	0.156	0.140
11	-0.339	-0.089	-0.230	1.000	0.012	0.079	0.110	0.051	0.135	0.135	0.188	0.185	0.111	0.094	0.109	0.097	0.325	0.132	0.107	0.176	0.026	0.228	0.116	0.103	0.231	0.169	0.103	0.084	0.105	0.119	0.171	0.111	0.088	0.036	0.173	0.206	-0.012	0.054	0.134	0.023	0.205	0.092	0.044	0.199	0.151	0.123	0.081	0.041	0.036	0.195
12	-0.389	-0.088	0.328	0.012	1.000	0.426	0.036	0.120	0.062	0.023	0.205	0.077	0.140	0.127	0.055	0.039	0.088	0.151	0.083	0.186	0.216	0.165	0.122	0.145	0.162	0.042	0.035	0.204	0.085	0.098	0.089	0.117	0.180	0.059	0.127	0.123	0.060	0.076	0.221	0.108	-0.023	0.378	0.156	0.070	0.194	0.152	0.224	0.042	0.213	0.156
13	-0.367	-0.071	0.149	0.079	0.426	1.000	0.059	0.099	0.069	0.040	0.115	0.164	0.259	0.123	0.042	0.073	0.196	0.027	0.210	0.097	0.086	0.122	0.123	0.131	0.163	0.022	0.084	0.043	0.134	0.082	0.019	0.236	0.158	0.048	0.022	0.123	-0.011	-0.027	0.152	0.179	0.090	0.220	0.213	0.091	0.402	0.089	0.103	0.076	0.140	0.186
14	-0.318	-0.119	0.168	0.110	0.036	0.059	1.000	-0.078	0.028	0.279	0.216	0.159	0.049	0.128	0.105	0.136	0.392	0.294	0.035	0.048	0.029	0.202	0.023	0.029	0.160	0.009	0.030	0.166	0.082	0.122	0.044	0.135	0.064	0.091	0.020	0.055	0.020	0.035	0.101	0.005	0.217	0.118	0.024	0.007	0.090	0.192	0.084	0.013	0.030	0.178
15	-0.301	-0.123	0.110	0.051	0.120	0.099	-0.078	1.000	0.102	0.079	0.279	0.063	0.079	0.034	0.083	0.232	0.035	0.027	0.082	0.124	0.049	0.168	0.087	0.171	0.169	0.093	0.118	0.099	-0.028	0.036	0.003	0.096	0.109	0.176	0.109	0.075	0.050	0.107	0.081	0.219	0.142	0.191	0.093	0.069	0.001	0.156	0.084	0.000	0.090	0.177
16	-0.436	-0.170	0.099	0.135	0.062	0.069	0.028	0.102	1.000	0.304	0.083	0.121	0.088	0.197	0.032	0.212	0.120	0.105	0.077	0.132	0.077	0.152	0.189	0.122	0.176	0.368	0.267	0.083	-0.042	0.126	0.202	0.292	0.176	0.135	0.229	0.075	0.212	0.221	0.121	0.259	0.153	0.103	0.057	0.155	0.160	0.179	0.229	0.057	0.026	0.117
